Predicted	Actual
[start] WesternBwe ɓ a ³³ [end]	[start] WesternBwe ɓ a ³³ [end]
[start] WesternBwe b l ɛ ³³ [end]	[start] WesternBwe p l ɛ ¹¹ [end]
[start] WesternBwe tʰ a ⁵⁵ [end]	[start] WesternBwe tʰ ɛ ⁵⁵ [end]
[start] WesternBwe w ɛ ³³ [end]	[start] WesternBwe w ɛ ³³ [end]
[start] WesternBwe n i ⁵⁵ [end]	[start] WesternBwe n ɪ ³³ [end]
[start] WesternBwe l a ¹¹ [end]	[start] WesternBwe l a ¹¹ [end]
[start] WesternBwe kʰ ɛ ³³ [end]	[start] WesternBwe kʰ ɛ ³³ [end]
[start] WesternBwe ʔ u ⁵⁵ [end]	[start] WesternBwe u ³³ [end]
[start] WesternBwe tʰ ɔ ³³ [end]	[start] WesternBwe tʰ ɔ ³³ [end]
[start] WesternBwe n u ¹¹ [end]	[start] WesternBwe n o ¹¹ [end]
[start] WesternBwe b ɛ ³³ [end]	[start] WesternBwe pʰ a ³³ [end]
[start] WesternBwe b ə ¹¹ [end]	[start] WesternBwe b ə ³³ [end]
[start] WesternBwe n ɛ ³³ [end]	[start] WesternBwe n ɛ ³³ [end]
[start] WesternBwe θ ɨ ³³ [end]	[start] WesternBwe θ a ³³ [end]
[start] WesternBwe kʰ w i ³³ [end]	[start] WesternBwe kʰ w i ³³ [end]
[start] WesternBwe ʃ a ⁵⁵ [end]	[start] WesternBwe ʃ a ⁵⁵ [end]
[start] WesternBwe kʰ ɛ ³³ [end]	[start] WesternBwe kʰ ɛ ³³ [end]
[start] WesternBwe l u ³³ [end]	[start] WesternBwe l u ³³ [end]
[start] WesternBwe ʃ w ɛ ³³ [end]	[start] WesternBwe ʃ w ɛ ³³ [end]
[start] WesternBwe kʰ ɪ ³³ [end]	[start] WesternBwe kʰ i ³³ [end]
[start] WesternBwe ʔ a ⁵⁵ [end]	[start] WesternBwe o ⁵⁵ [end]
[start] WesternBwe l a ³³ [end]	[start] WesternBwe l a ³³ [end]
[start] WesternBwe m ɛ ³³ [end]	[start] WesternBwe m ɛ ³³ [end]
[start] WesternBwe tʰ w i ³³ [end]	[start] WesternBwe tʰ w i ³³ [end]
[start] WesternBwe m ɛ ³³ [end]	[start] WesternBwe m ɛ ⁵⁵ [end]
[start] WesternBwe l w i ³³ [end]	[start] WesternBwe l w i ³³ [end]
[start] WesternBwe m a ³³ [end]	[start] WesternBwe m a ³³ [end]
[start] WesternBwe m u ¹¹ [end]	[start] WesternBwe m u ³³ [end]
[start] WesternBwe ʔ ɪ ³³ [end]	[start] WesternBwe ɪ ³³ [end]
[start] WesternBwe n ɛ ³³ [end]	[start] WesternBwe n ɛ ³³ [end]
[start] WesternBwe ɗ i ³³ [end]	[start] WesternBwe ɗ i ³³ [end]
[start] WesternBwe ʃ a ⁵⁵ [end]	[start] WesternBwe ʃ a ⁵⁵ [end]
[start] WesternBwe b i ¹¹ [end]	[start] WesternBwe b ɪ ¹¹ [end]
[start] WesternBwe d ɛ ¹¹ [end]	[start] WesternBwe d e ¹¹ [end]
[start] Dashi m ə˞ ⁴⁴ [end]	[start] Dashi m ə˞ ⁴⁴ [end]
[start] Dashi ʈʂ i ²¹ [end]	[start] Dashi ʈʂ i ³¹ [end]
[start] Dashi k ɯ ²¹ [end]	[start] Dashi k ɯ ²¹ [end]
[start] Dashi s w a ⁴⁴ [end]	[start] Dashi sʰ w a ⁴⁴ [end]
[start] Dashi ts o ŋ ³³ [end]	[start] Dashi ts õ ³³ [end]
[start] Dashi tɕ j e n ⁴² [end]	[start] Dashi tɕ j e n ⁴² [end]
[start] Dashi p u ³³ [end]	[start] Dashi p ɯ ³³ [end]
[start] Dashi x ẽ ³³ [end]	[start] Dashi ɣ ɯ ³³ [end]
[start] Dashi ʈʂ ou ⁴⁴ [end]	[start] Dashi ʈʂ o ³³ [end]
[start] Dashi ʈʂʰ ou ²¹ [end]	[start] Dashi z au ²¹ [end]
[start] Dashi k ə˞ ⁴⁴ [end]	[start] Dashi k ə˞ ⁴⁴ [end]
[start] Dashi kʰ a ⁴⁴ [end]	[start] Dashi kʰ a ⁴⁴ [end]
[start] Dashi t ou ⁴² [end]	[start] Dashi t ou ⁴² [end]
[start] Dashi ts ou ⁴⁴ [end]	[start] Dashi ts ou ³³ [end]
[start] Dashi kʰ u ³³ [end]	[start] Dashi kʰ u ³³ [end]
[start] Dashi x ɯ ⁴⁴ [end]	[start] Dashi x ɯ ⁴⁴ [end]
[start] Dashi s w a ⁴⁴ [end]	[start] Dashi sʰ w a ⁴⁴ [end]
[start] Dashi pʰ ɯ ⁵⁵ [end]	[start] Dashi pʰ u ⁵⁵ [end]
[start] Dashi k u ²¹ [end]	[start] Dashi k u ²¹ [end]
[start] Dashi k o ²¹ [end]	[start] Dashi k o ²¹ [end]
[start] Dashi m ə˞ ⁴² [end]	[start] Dashi m ə˞ ⁴² [end]
[start] Dashi m e ⁴² [end]	[start] Dashi m e ⁴² [end]
[start] Dashi p j e n ⁴² [end]	[start] Dashi p j e n ⁴² [end]
[start] Dashi k ẽ ⁵⁵ [end]	[start] Dashi k e ³⁵ [end]
[start] Dashi ʈʂ õ ³¹ [end]	[start] Dashi ʈʂ o ³¹ [end]
[start] Dashi t ə ²¹ [end]	[start] Dashi t i ə ²¹ [end]
[start] Dashi kʰ ou ³³ [end]	[start] Dashi kʰ u ³³ [end]
[start] Dashi k ə̃˞ ⁵⁵ [end]	[start] Dashi k ə˞ ³⁵ [end]
[start] Dashi ʈʂ ɯ ³¹ [end]	[start] Dashi ʈʂ ɯ ³¹ [end]
[start] Dashi ʂ o ³⁵ [end]	[start] Dashi ʂ ə ³⁵ [end]
[start] Dashi ʈʂ o ³³ [end]	[start] Dashi ʈʂ o ³³ [end]
[start] Dashi s ə˞ ⁴⁴ [end]	[start] Dashi ʂʰ ə˞ ⁴⁴ [end]
[start] Dashi ɕ i ³³ [end]	[start] Dashi ɕ i ³³ [end]
[start] Dashi ɕ i ³³ [end]	[start] Dashi ɕ i ³³ [end]
[start] Dashi m e ²¹ [end]	[start] Dashi m e ²¹ [end]
[start] Dashi l o ŋ ²¹ [end]	[start] Dashi l õ ²¹ [end]
[start] Dashi k ã ³⁵ [end]	[start] Dashi k ã ³⁵ [end]
[start] Dashi tɕ y ³³ [end]	[start] Dashi ts u ³³ [end]
[start] Dashi tɕ i ³¹ [end]	[start] Dashi tɕ i ³¹ [end]
[start] Dashi s e n ⁴² [end]	[start] Dashi s e n ⁴² [end]
[start] Dashi ʂ i ³³ [end]	[start] Dashi s i ³³ [end]
[start] Dashi t w e n ³³ [end]	[start] Dashi t w e n ³³ [end]
[start] Dashi tɕʰ i ⁵⁵ [end]	[start] Dashi tɕʰ i ⁵⁵ [end]
[start] Dashi k ɯ ⁵⁵ [end]	[start] Dashi k ɯ ³⁵ [end]
[start] Dashi ʂ ɯ ³³ [end]	[start] Dashi ʂ ɯ ³³ [end]
[start] Dashi ɕ j e n ⁵⁵ [end]	[start] Dashi ɕ j e n ⁵⁵ [end]
[start] Dashi p ɯ ²¹ [end]	[start] Dashi p u ²¹ [end]
[start] Dashi k ou ⁴⁴ [end]	[start] Dashi k ou ⁴⁴ [end]
[start] Dashi ɕ i ⁴⁴ [end]	[start] Dashi ɕ i ⁴⁴ [end]
[start] Dashi ɕ o ŋ ⁵⁵ [end]	[start] Dashi ʂ ou ⁴⁴ [end]
[start] Dashi s w a ŋ ³¹ [end]	[start] Dashi sʰ w a ŋ ³¹ [end]
[start] Dashi t ɯ ⁴⁴ [end]	[start] Dashi tʲ ɯ ⁴⁴ [end]
[start] Dashi k õ ³⁵ [end]	[start] Dashi k o ŋ ⁵⁵ [end]
[start] Dashi ts ɯ ³¹ [end]	[start] Dashi z i ²¹ [end]
[start] Dashi s o ŋ ³³ [end]	[start] Dashi s õ ³³ [end]
[start] Dashi ʈʂ i ³⁵ [end]	[start] Dashi ʈʂ i ⁵⁵ [end]
[start] Dashi kʰ ə˞ ⁴⁴ [end]	[start] Dashi kʰ ə˞ ⁴⁴ [end]
[start] Dashi ʂ ɯ ³³ [end]	[start] Dashi ʂʰ ɯ ³³ [end]
[start] Dashi p u ³³ [end]	[start] Dashi p u ³³ [end]
[start] Dashi ɕ j e n ⁵⁵ [end]	[start] Dashi ɕ j e n ⁵⁵ [end]
[start] Dashi ts o ŋ ²¹ [end]	[start] Dashi ts o ŋ ²¹ [end]
[start] Dashi k ã ³⁵ [end]	[start] Dashi k ã ³⁵ [end]
[start] Dashi ʈʂ o ŋ ²¹ [end]	[start] Dashi ʈʂ o ²¹ [end]
[start] Dashi k ou ⁴⁴ [end]	[start] Dashi k o ⁴⁴ [end]
[start] Dashi m ə˞ ³³ [end]	[start] Dashi m ə˞ ³³ [end]
[start] Dashi p ou ⁴⁴ [end]	[start] Dashi p ə˞ ⁴⁴ [end]
[start] Ega m a ⁴⁴ [end]	[start] Ega m a ⁴⁴ [end]
[start] Ega dz ɛ ²¹ [end]	[start] Ega ts ɛ ²¹ [end]
[start] Ega k ɯ ²¹ [end]	[start] Ega k ɯ ²¹ [end]
[start] Ega s w a ⁴⁴ [end]	[start] Ega s w a ⁴⁴ [end]
[start] Ega ts o ŋ ²² [end]	[start] Ega ts õ ²² [end]
[start] Ega tɕ j ɛ ⁴² [end]	[start] Ega ts ɛ ⁴² [end]
[start] Ega p ɯ ²² [end]	[start] Ega p ɯ ²² [end]
[start] Ega ɣ ɯ ²² [end]	[start] Ega x ɯ̃ ²² [end]
[start] Ega tɕ i u ⁴⁴ [end]	[start] Ega tɕ u ⁴⁴ [end]
[start] Ega z o ²¹ [end]	[start] Ega z o ²¹ [end]
[start] Ega q a ⁴⁴ [end]	[start] Ega q a ⁴² [end]
[start] Ega qʰ o ⁴⁴ [end]	[start] Ega qʰ o ⁴⁴ [end]
[start] Ega t o ⁴² [end]	[start] Ega d o ⁴² [end]
[start] Ega ts u ⁴⁴ [end]	[start] Ega ts u ⁴⁴ [end]
[start] Ega qʰ u ²² [end]	[start] Ega qʰ u ²² [end]
[start] Ega x ɯ ⁴⁴ [end]	[start] Ega x ɯ ⁴⁴ [end]
[start] Ega s w a ⁴⁴ [end]	[start] Ega s w a ⁴⁴ [end]
[start] Ega pʰ ɯ ⁵⁵ [end]	[start] Ega pʰ ɯ ⁵⁵ [end]
[start] Ega k u ²¹ [end]	[start] Ega k ʯ ²¹ [end]
[start] Ega k ʯ ²¹ [end]	[start] Ega k ʯ ²¹ [end]
[start] Ega m a ⁴² [end]	[start] Ega m a ⁴² [end]
[start] Ega m ɛ ⁴² [end]	[start] Ega m ɛ ⁴² [end]
[start] Ega p j ɛ ⁴² [end]	[start] Ega p ɛ ⁴² [end]
[start] Ega q a ⁵⁵ [end]	[start] Ega q ɛ ⁵⁵ [end]
[start] Ega tɕ i u ⁴² [end]	[start] Ega tɕ i u ⁴² [end]
[start] Ega t i ²¹ [end]	[start] Ega tɕ i ²¹ [end]
[start] Ega qʰ o ²² [end]	[start] Ega qʰ o ²² [end]
[start] Ega q a ⁵⁵ [end]	[start] Ega q a ⁵⁵ [end]
[start] Ega dʑ i ⁴² [end]	[start] Ega dʑ i ⁴² [end]
[start] Ega ɕ i u ⁵⁵ [end]	[start] Ega ɕ y ⁵⁵ [end]
[start] Ega tɕ u ²² [end]	[start] Ega tɕ u ²² [end]
[start] Ega s a ⁴⁴ [end]	[start] Ega ɕ a ⁴⁴ [end]
[start] Ega ɕ i ²² [end]	[start] Ega s i ²² [end]
[start] Ega ɕ i ²² [end]	[start] Ega s i ²² [end]
[start] Ega m ɛ ²¹ [end]	[start] Ega m ɛ ²¹ [end]
[start] Ega l o ²¹ [end]	[start] Ega l u ²¹ [end]
[start] Ega q o ⁵⁵ [end]	[start] Ega q o ⁵⁵ [end]
[start] Ega tɕ ɥ i ²² [end]	[start] Ega tɕ ɥ i ²² [end]
[start] Ega tɕ i ⁴² [end]	[start] Ega tɕ i ⁴² [end]
[start] Ega s ɛ ⁴² [end]	[start] Ega s ɛ ⁴² [end]
[start] Ega s ɛ ²² [end]	[start] Ega s ɛ ²² [end]
[start] Ega t ɥ ɛ ²² [end]	[start] Ega t i ²² [end]
[start] Ega tɕʰ i ⁵⁵ [end]	[start] Ega tɕʰ i ⁵⁵ [end]
[start] Ega q ɯ ⁵⁵ [end]	[start] Ega q ɯ ⁵⁵ [end]
[start] Ega ɕ i ²² [end]	[start] Ega ɕ i ²² [end]
[start] Ega ɕ i ⁵⁵ [end]	[start] Ega s ɛ ⁵⁵ [end]
[start] Ega p ɯ ²¹ [end]	[start] Ega p ɯ ²¹ [end]
[start] Ega k o ⁴⁴ [end]	[start] Ega k u ⁴⁴ [end]
[start] Ega ɕ i ⁴⁴ [end]	[start] Ega s i ⁴⁴ [end]
[start] Ega ɕ j o ŋ ⁵⁵ [end]	[start] Ega ɕ w o ŋ ⁵⁵ [end]
[start] Ega s w a ⁴² [end]	[start] Ega s w a ⁴² [end]
[start] Ega t ɯ ⁴⁴ [end]	[start] Ega t ɯ ⁴⁴ [end]
[start] Ega k o ŋ ⁵⁵ [end]	[start] Ega k u ⁵⁵ [end]
[start] Ega z i ⁴² [end]	[start] Ega z i ⁴² [end]
[start] Ega s u ²² [end]	[start] Ega s y ²² [end]
[start] Ega ts i ⁵⁵ [end]	[start] Ega ts ɛ ⁵⁵ [end]
[start] Ega qʰ a ⁴⁴ [end]	[start] Ega qʰ a ⁴⁴ [end]
[start] Ega ɕ i ²² [end]	[start] Ega ɕ i ²² [end]
[start] Ega p ɯ ²² [end]	[start] Ega p ɯ ²² [end]
[start] Ega ɕ j ɛ ⁵⁵ [end]	[start] Ega s ɛ ⁵⁵ [end]
[start] Ega ts o ŋ ²¹ [end]	[start] Ega ts u ²¹ [end]
[start] Ega q o ⁵⁵ [end]	[start] Ega q o ⁵⁵ [end]
[start] Ega tɕ u ²¹ [end]	[start] Ega tɕ u ²¹ [end]
[start] Ega q o ⁴⁴ [end]	[start] Ega q o ⁴⁴ [end]
[start] Ega m a ²² [end]	[start] Ega m a ²² [end]
[start] Ega p a ⁴⁴ [end]	[start] Ega p a ⁴⁴ [end]
[start] Enqi m æ ⁵⁵ [end]	[start] Enqi m æ ⁵⁵ [end]
[start] Enqi ts ɿ ²¹ [end]	[start] Enqi ts ɿ ²¹ [end]
[start] Enqi k ɯ ²¹ [end]	[start] Enqi k ɯ ²¹ [end]
[start] Enqi s w a ⁵⁵ [end]	[start] Enqi s w a ⁵⁵ [end]
[start] Enqi ts o ²² [end]	[start] Enqi ts o ²² [end]
[start] Enqi tɕ i ⁴³ [end]	[start] Enqi ts i ⁴³ [end]
[start] Enqi p ɯ ²² [end]	[start] Enqi p ɯ ²² [end]
[start] Enqi ɣ ɯ ²² [end]	[start] Enqi ɯ ²² [end]
[start] Enqi ts u ⁵⁵ [end]	[start] Enqi tɕ o ⁵⁵ [end]
[start] Enqi z o ²¹ [end]	[start] Enqi z o ⁴³ [end]
[start] Enqi q æ ⁵⁵ [end]	[start] Enqi q æ ⁵⁵ [end]
[start] Enqi qʰ a ⁵⁵ [end]	[start] Enqi qʰ a ⁵⁵ [end]
[start] Enqi d o ⁴³ [end]	[start] Enqi d a ⁴³ [end]
[start] Enqi ts u ⁵⁵ [end]	[start] Enqi ts u ⁵⁵ [end]
[start] Enqi qʰ u ²² [end]	[start] Enqi qʰ u ²² [end]
[start] Enqi χ ɯ ⁵⁵ [end]	[start] Enqi χ ɯ ⁵⁵ [end]
[start] Enqi s w a ⁵⁵ [end]	[start] Enqi s w a ⁵⁵ [end]
[start] Enqi pʰ ɯ ²⁴ [end]	[start] Enqi pʰ ɯ ²⁴ [end]
[start] Enqi k u ²¹ [end]	[start] Enqi k u ²¹ [end]
[start] Enqi k u ²¹ [end]	[start] Enqi k u ²¹ [end]
[start] Enqi m æ ⁴³ [end]	[start] Enqi m æ ⁴³ [end]
[start] Enqi m ɛ ⁴³ [end]	[start] Enqi m ɛ ⁴³ [end]
[start] Enqi p j ɛ ⁴³ [end]	[start] Enqi p ɛ ⁴³ [end]
[start] Enqi q æ ²⁴ [end]	[start] Enqi q ɛ ²⁴ [end]
[start] Enqi ts u ⁴³ [end]	[start] Enqi ɖʐ o ⁴² [end]
[start] Enqi t j ɯ ²¹ [end]	[start] Enqi d j ɯ ²¹ [end]
[start] Enqi qʰ o ²² [end]	[start] Enqi qʰ o ²² [end]
[start] Enqi q æ ²⁴ [end]	[start] Enqi q æ ²⁴ [end]
[start] Enqi d j ɯ ⁴³ [end]	[start] Enqi d j ɯ ⁴³ [end]
[start] Enqi ɕ j o ²⁴ [end]	[start] Enqi ɕ u ²⁴ [end]
[start] Enqi ts u ²² [end]	[start] Enqi tɕ u ²² [end]
[start] Enqi s æ ⁵⁵ [end]	[start] Enqi ɕ j æ ⁵⁵ [end]
[start] Enqi ɕ i ²² [end]	[start] Enqi s i ²² [end]
[start] Enqi ɕ i ²² [end]	[start] Enqi s i ²² [end]
[start] Enqi m ɛ ²¹ [end]	[start] Enqi m ɛ ²¹ [end]
[start] Enqi l o ²¹ [end]	[start] Enqi l u ²¹ [end]
[start] Enqi q a ²⁴ [end]	[start] Enqi q a ²⁴ [end]
[start] Enqi tɕ ɥ i ²² [end]	[start] Enqi tɕ ɥ i ²² [end]
[start] Enqi d i ⁴³ [end]	[start] Enqi dʑ i ⁴² [end]
[start] Enqi s ɛ ⁴³ [end]	[start] Enqi s ɛ ⁴³ [end]
[start] Enqi s ɿ ²² [end]	[start] Enqi s ɿ ²² [end]
[start] Enqi t ɥ i ²² [end]	[start] Enqi t ɥ ɛ ²² [end]
[start] Enqi tɕʰ i ²⁴ [end]	[start] Enqi tɕʰ i ²⁴ [end]
[start] Enqi q ɯ ²⁴ [end]	[start] Enqi q ɯ ²⁴ [end]
[start] Enqi ɕ j ɯ ²² [end]	[start] Enqi ɕ j ɯ ²² [end]
[start] Enqi ɕ i ²⁴ [end]	[start] Enqi s i ²⁴ [end]
[start] Enqi p ɯ ²¹ [end]	[start] Enqi b ɯ ²¹ [end]
[start] Enqi k u ⁵⁵ [end]	[start] Enqi k u ⁵⁵ [end]
[start] Enqi ɕ i ⁵⁵ [end]	[start] Enqi s i ⁵⁵ [end]
[start] Enqi ɕ j o ²⁴ [end]	[start] Enqi ɕ j o ²⁴ [end]
[start] Enqi s w a ⁴³ [end]	[start] Enqi ɕ ɥ ɛ ⁴² [end]
[start] Enqi t ɯ ⁵⁵ [end]	[start] Enqi t ə ⁵⁵ [end]
[start] Enqi k o ²⁴ [end]	[start] Enqi k o ²⁴ [end]
[start] Enqi z ɿ ⁴³ [end]	[start] Enqi ts ɿ ⁴³ [end]
[start] Enqi s o ²² [end]	[start] Enqi s u ²² [end]
[start] Enqi ts ɿ ²⁴ [end]	[start] Enqi ts ɿ ²⁴ [end]
[start] Enqi qʰ æ ⁵⁵ [end]	[start] Enqi qʰ æ ⁵⁵ [end]
[start] Enqi s ɿ ²² [end]	[start] Enqi ɕ j ɯ ²² [end]
[start] Enqi p ɯ ²² [end]	[start] Enqi p ɯ ²² [end]
[start] Enqi ɕ i ²⁴ [end]	[start] Enqi s i ²⁴ [end]
[start] Enqi ts o ²¹ [end]	[start] Enqi ts o ²¹ [end]
[start] Enqi q a ²⁴ [end]	[start] Enqi q a ²⁴ [end]
[start] Enqi ts o ²¹ [end]	[start] Enqi tɕ o ²¹ [end]
[start] Enqi q o ⁵⁵ [end]	[start] Enqi q o ⁵⁵ [end]
[start] Enqi m æ ²² [end]	[start] Enqi m æ ²² [end]
[start] Enqi p æ ⁵⁵ [end]	[start] Enqi p æ ⁵⁵ [end]
[start] Gongxing m æ ²⁴ [end]	[start] Gongxing m æ ²⁴ [end]
[start] Gongxing dz i ¹² [end]	[start] Gongxing ɖʐ i ²¹ [end]
[start] Gongxing g ɯ ¹² [end]	[start] Gongxing g ɯ ¹² [end]
[start] Gongxing s w a ²⁴ [end]	[start] Gongxing s w a ²⁴ [end]
[start] Gongxing ts o ŋ ²² [end]	[start] Gongxing ts o ŋ ²² [end]
[start] Gongxing tɕ j e n ⁴² [end]	[start] Gongxing tɕ i n ⁴² [end]
[start] Gongxing p u ²² [end]	[start] Gongxing p u ³³ [end]
[start] Gongxing ɣ e n ²² [end]	[start] Gongxing ɣ e ²² [end]
[start] Gongxing ʈʂ u ²⁴ [end]	[start] Gongxing ts ao ²⁴ [end]
[start] Gongxing z ao ¹² [end]	[start] Gongxing z ao ¹² [end]
[start] Gongxing q æ ²⁴ [end]	[start] Gongxing q æ ²⁴ [end]
[start] Gongxing qʰ a ²⁴ [end]	[start] Gongxing qʰ a ²⁴ [end]
[start] Gongxing d a ⁴² [end]	[start] Gongxing d a ⁴² [end]
[start] Gongxing ts u ²⁴ [end]	[start] Gongxing ts u ²⁴ [end]
[start] Gongxing qʰ u ²² [end]	[start] Gongxing qʰ m u ²² [end]
[start] Gongxing χ e ²⁴ [end]	[start] Gongxing χ e ²⁴ [end]
[start] Gongxing s w a ²⁴ [end]	[start] Gongxing s w a ²⁴ [end]
[start] Gongxing pʰ ɯ ⁵⁵ [end]	[start] Gongxing p u ⁵⁵ [end]
[start] Gongxing g ao ¹² [end]	[start] Gongxing g u ¹² [end]
[start] Gongxing g ao ¹² [end]	[start] Gongxing g ao ¹² [end]
[start] Gongxing m æ ⁴² [end]	[start] Gongxing m æ ⁴² [end]
[start] Gongxing m ɛ ⁴² [end]	[start] Gongxing m e n ⁴² [end]
[start] Gongxing p j e n ⁴² [end]	[start] Gongxing tɕ ɥ e n ⁴² [end]
[start] Gongxing q ɛ ⁵⁵ [end]	[start] Gongxing q ɛ ⁵⁵ [end]
[start] Gongxing dz ao ⁴² [end]	[start] Gongxing ɖʐ ao ⁴² [end]
[start] Gongxing d i ¹² [end]	[start] Gongxing d i ¹² [end]
[start] Gongxing qʰ u ²² [end]	[start] Gongxing qʰ o ²² [end]
[start] Gongxing q a ⁵⁵ [end]	[start] Gongxing q a n ⁵⁵ [end]
[start] Gongxing ɖʐ i ⁴² [end]	[start] Gongxing ɖʐ i ⁴² [end]
[start] Gongxing ɕ y ⁵⁵ [end]	[start] Gongxing s ao ⁵⁵ [end]
[start] Gongxing ʈʂ u ²² [end]	[start] Gongxing ts ao ²² [end]
[start] Gongxing s æ ²⁴ [end]	[start] Gongxing s æ ²⁴ [end]
[start] Gongxing s i ³³ [end]	[start] Gongxing ɕ i ²² [end]
[start] Gongxing s i ³³ [end]	[start] Gongxing ɕ i ²² [end]
[start] Gongxing m ɛ ¹² [end]	[start] Gongxing m ə n ¹² [end]
[start] Gongxing l o ŋ ¹² [end]	[start] Gongxing l õ ¹² [end]
[start] Gongxing q a ŋ ⁵⁵ [end]	[start] Gongxing q a ŋ ⁵⁵ [end]
[start] Gongxing ts u ²² [end]	[start] Gongxing tɕ y ²² [end]
[start] Gongxing dʑ i ⁴² [end]	[start] Gongxing dʑ i ⁴² [end]
[start] Gongxing s e n ⁴² [end]	[start] Gongxing s e n ⁴² [end]
[start] Gongxing ʂ i ²² [end]	[start] Gongxing ʂ i ²² [end]
[start] Gongxing t ɥ e n ²² [end]	[start] Gongxing t ɥ e n ²² [end]
[start] Gongxing tɕʰ i ⁵⁵ [end]	[start] Gongxing tɕʰ i ⁵⁵ [end]
[start] Gongxing q ɯ ⁵⁵ [end]	[start] Gongxing q e ⁵⁵ [end]
[start] Gongxing s i ³³ [end]	[start] Gongxing ʂ i ²² [end]
[start] Gongxing s e n ⁵⁵ [end]	[start] Gongxing χ j e n ⁵⁵ [end]
[start] Gongxing b u ¹² [end]	[start] Gongxing b u ¹² [end]
[start] Gongxing k u ²⁴ [end]	[start] Gongxing k u ²⁴ [end]
[start] Gongxing s i ²⁴ [end]	[start] Gongxing ɕ i ²⁴ [end]
[start] Gongxing s o ŋ ⁵⁵ [end]	[start] Gongxing s o ŋ ⁵⁵ [end]
[start] Gongxing s w a ŋ ⁴² [end]	[start] Gongxing s w a ŋ ⁴² [end]
[start] Gongxing t i ²⁴ [end]	[start] Gongxing t i ²⁴ [end]
[start] Gongxing k o ŋ ⁵⁵ [end]	[start] Gongxing k o ŋ ⁵⁵ [end]
[start] Gongxing z i ⁴² [end]	[start] Gongxing z i ⁴² [end]
[start] Gongxing s u ²² [end]	[start] Gongxing s ao ²² [end]
[start] Gongxing ʈʂ i ⁵⁵ [end]	[start] Gongxing ʈʂ i ⁵⁵ [end]
[start] Gongxing qʰ æ ²⁴ [end]	[start] Gongxing qʰ æ ²⁴ [end]
[start] Gongxing s i ³³ [end]	[start] Gongxing ʂ i ²² [end]
[start] Gongxing p u ²² [end]	[start] Gongxing p u ³³ [end]
[start] Gongxing s e n ⁵⁵ [end]	[start] Gongxing ɕ i n ⁵⁵ [end]
[start] Gongxing dz o ŋ ¹² [end]	[start] Gongxing dz o ŋ ¹² [end]
[start] Gongxing q a ŋ ⁵⁵ [end]	[start] Gongxing q a ŋ ⁵⁵ [end]
[start] Gongxing dz o ŋ ¹² [end]	[start] Gongxing dz ao ¹² [end]
[start] Gongxing q a ²⁴ [end]	[start] Gongxing q ao ²⁴ [end]
[start] Gongxing m æ ²² [end]	[start] Gongxing m æ ²² [end]
[start] Gongxing p æ ²⁴ [end]	[start] Gongxing p æ ²⁴ [end]
[start] Jinman m a ⁵⁵ [end]	[start] Jinman m a ⁵⁵ [end]
[start] Jinman ʈʂ ə˞ ²¹ [end]	[start] Jinman tɕ ə˞ ²¹ [end]
[start] Jinman k ɯ ²¹ [end]	[start] Jinman k ɯ ²¹ [end]
[start] Jinman s w a ⁴⁴ [end]	[start] Jinman s w a ⁵⁵ [end]
[start] Jinman tɕ õ ²² [end]	[start] Jinman ts ə ŋ ²² [end]
[start] Jinman tɕ j e n ⁴² [end]	[start] Jinman ts ẽ ⁴² [end]
[start] Jinman p u ²² [end]	[start] Jinman p ɯ ²² [end]
[start] Jinman ɣ ɯ ²² [end]	[start] Jinman x ẽ ⁵⁵ [end]
[start] Jinman tɕ i u ⁵⁵ [end]	[start] Jinman tɕ u ⁵⁵ [end]
[start] Jinman z o ²¹ [end]	[start] Jinman z ao ²¹ [end]
[start] Jinman q a ⁵⁵ [end]	[start] Jinman q a ⁵⁵ [end]
[start] Jinman qʰ a ⁴⁴ [end]	[start] Jinman qʰ a ⁵⁵ [end]
[start] Jinman d o ⁴² [end]	[start] Jinman d o ⁴² [end]
[start] Jinman tɕ u ⁵⁵ [end]	[start] Jinman ts o ⁵⁵ [end]
[start] Jinman qʰ o ²² [end]	[start] Jinman qʰ u ²² [end]
[start] Jinman x ɯ ⁵⁵ [end]	[start] Jinman x ɯ ⁵⁵ [end]
[start] Jinman s w a ⁴⁴ [end]	[start] Jinman s w a ⁵⁵ [end]
[start] Jinman pʰ ɯ ⁵⁵ [end]	[start] Jinman pʰ ɯ ⁵⁵ [end]
[start] Jinman k u ²¹ [end]	[start] Jinman k ʯ ²¹ [end]
[start] Jinman k ʯ ²¹ [end]	[start] Jinman k ʯ ²¹ [end]
[start] Jinman m a ⁴² [end]	[start] Jinman m a ⁴² [end]
[start] Jinman m e ⁴² [end]	[start] Jinman m e ⁴² [end]
[start] Jinman p ɥ e ⁴² [end]	[start] Jinman p e ⁴² [end]
[start] Jinman q e ⁵⁵ [end]	[start] Jinman q ɛ̃ ⁵⁵ [end]
[start] Jinman tɕ i u ⁴² [end]	[start] Jinman tɕ i u ⁴² [end]
[start] Jinman t i ²¹ [end]	[start] Jinman ʈ ɯ ²¹ [end]
[start] Jinman qʰ o ²² [end]	[start] Jinman qʰ o ²² [end]
[start] Jinman q ã ⁵⁵ [end]	[start] Jinman q o ⁵⁵ [end]
[start] Jinman d i ⁴² [end]	[start] Jinman ɖ ɯ ⁴² [end]
