Predicted	Actual
[start] ProtoKaren w ei ⁵⁵ [end]	[start] ProtoKaren w ɛi ⁵⁵ [end]
[start] ProtoKaren w ei ⁵⁵ [end]	[start] ProtoKaren w i ⁵⁵ [end]
[start] ProtoKaren j o ʔ ⁵¹ [end]	[start] ProtoKaren j o ʔ̚ ⁵¹ [end]
[start] ProtoKaren m ə ⁰ [end]	[start] ProtoKaren m ə ¹¹ [end]
[start] ProtoKaren ʔ ɛ ɴ ¹¹ [end]	[start] ProtoKaren ʔ j ɛ n ¹¹ [end]
[start] ProtoKaren s a ɴ ⁵⁵ [end]	[start] ProtoKaren s a ɴ ⁵⁵ [end]
[start] ProtoKaren n ei ¹¹ [end]	[start] ProtoKaren n e ¹¹ [end]
[start] ProtoKaren p r a ¹¹ [end]	[start] ProtoKaren b r a ¹¹ [end]
[start] ProtoKaren p ɔ ⁵⁵ [end]	[start] ProtoKaren b o ¹¹ [end]
[start] ProtoKaren k i ¹¹ [end]	[start] ProtoKaren k i ¹¹ [end]
[start] ProtoKaren p ɔ ŋ ⁵⁵ [end]	[start] ProtoKaren b ɔ ŋ ⁵⁵ [end]
[start] ProtoKaren tʰ ɛ ʔ̚ ⁵¹ [end]	[start] ProtoKaren tʰ e ¹¹ [end]
[start] ProtoKaren tʰ w ə ɴ ¹¹ [end]	[start] ProtoKaren tʰ u ɴ ¹¹ [end]
[start] ProtoKaren s w ə ɴ ¹¹ [end]	[start] ProtoKaren s u n ¹¹ [end]
[start] ProtoKaren ˀb ɔ ʔ̚ ⁵¹ [end]	[start] ProtoKaren ˀb o ʔ̚ ⁵¹ [end]
[start] ProtoKaren tʰ w a ⁵⁵ [end]	[start] ProtoKaren tʰ w ɛ ⁵⁵ [end]
[start] ProtoKaren r̥ w i ¹¹ [end]	[start] ProtoKaren r w i ¹¹ [end]
[start] ProtoKaren s ə ŋ ⁵⁵ [end]	[start] ProtoKaren s ə ŋ ⁵⁵ [end]
[start] ProtoKaren s a ¹¹ [end]	[start] ProtoKaren s a ¹¹ [end]
[start] ProtoKaren cʰ w ɨ ɴ ⁵⁵ [end]	[start] ProtoKaren cʰ ɨ m ⁵⁵ [end]
[start] ProtoKaren n w a t ⁵¹ [end]	[start] ProtoKaren ˀn w e [UNK] ⁵¹ [end]
[start] ProtoKaren pʰ r o ¹¹ [end]	[start] ProtoKaren pʰ ə ¹¹ [end]
[start] ProtoKaren p l e ŋ ⁵⁵ [end]	[start] ProtoKaren p l e ŋ ⁵⁵ [end]
[start] ProtoKaren n w ɨ ɴ ⁵⁵ [end]	[start] ProtoKaren n ɨ m ⁵⁵ [end]
[start] ProtoKaren m̥ a ʔ̚ ⁵¹ [end]	[start] ProtoKaren m a ʔ̚ ⁵¹ [end]
[start] SouthernPao t a ŋ ⁵⁵ [end]	[start] SouthernPao t ə ŋ ⁵⁵ [end]
[start] SouthernPao d a ⁵⁵ [end]	[start] SouthernPao t ə ³³ [end]
[start] SouthernPao p l a ⁵⁵ [end]	[start] SouthernPao p l a ⁵⁵ [end]
[start] SouthernPao s a ɦ ³¹ [end]	[start] SouthernPao s a ɦ ³¹ [end]
[start] SouthernPao b a ŋ ³³ [end]	[start] SouthernPao b a ŋ ³³ [end]
[start] SouthernPao p l a ⁵⁵ [end]	[start] SouthernPao p l a ɦ ³¹ [end]
[start] SouthernPao tʰ a m ɦ ³¹ [end]	[start] SouthernPao tʰ a m ɦ ³¹ [end]
[start] SouthernPao h w a ʔ ²¹ [end]	[start] SouthernPao w a p ²¹ [end]
[start] SouthernPao n i ɦ ³¹ [end]	[start] SouthernPao n e ɦ ³¹ [end]
[start] SouthernPao l a ¹¹ [end]	[start] SouthernPao l a ʔ ⁴⁵ [end]
[start] SouthernPao kʰ a ³³ [end]	[start] SouthernPao kʰ a ³³ [end]
[start] SouthernPao ʔ u ɦ ³¹ [end]	[start] SouthernPao ʔ u ɦ ³¹ [end]
[start] SouthernPao tʰ ɔ ʔ ²¹ [end]	[start] SouthernPao tʰ ɔ ʔ ²¹ [end]
[start] SouthernPao n ə ʔ ²¹ [end]	[start] SouthernPao n u ʔ ⁴⁵ [end]
[start] SouthernPao p a ʔ ²¹ [end]	[start] SouthernPao p a ʔ ²¹ [end]
[start] SouthernPao p i ʔ ²¹ [end]	[start] SouthernPao p a ʔ ²¹ [end]
[start] SouthernPao n a ⁵⁵ [end]	[start] SouthernPao n a ⁵⁵ [end]
[start] SouthernPao s i ʔ ²¹ [end]	[start] SouthernPao s i ʔ ²¹ [end]
[start] SouthernPao kʰ w i ³³ [end]	[start] SouthernPao kʰ w i ³³ [end]
[start] SouthernPao cʰ a ŋ ɦ ³¹ [end]	[start] SouthernPao ɕ j a n ɦ ³¹ [end]
[start] SouthernPao kʰ a ³³ [end]	[start] SouthernPao kʰ a ³³ [end]
[start] SouthernPao l u ³³ [end]	[start] SouthernPao l u ³³ [end]
[start] SouthernPao cʰ w a ³³ [end]	[start] SouthernPao cʰ w ɛ ³³ [end]
[start] SouthernPao kʰ i ʔ ⁴⁵ [end]	[start] SouthernPao kʰ i ʔ ²¹ [end]
[start] SouthernPao ʔ a ŋ ɦ ³¹ [end]	[start] SouthernPao ʔ ə ŋ ɦ ³¹ [end]
[start] SouthernPao l a ŋ ⁵³ [end]	[start] SouthernPao l a ŋ ⁵³ [end]
[start] SouthernPao m a ⁵⁵ [end]	[start] SouthernPao m a ⁵⁵ [end]
[start] SouthernPao tʰ w i ³³ [end]	[start] SouthernPao tʰ w i ³³ [end]
[start] SouthernPao m a ³³ [end]	[start] SouthernPao m a ⁵³ [end]
[start] SouthernPao l w i ⁵⁵ [end]	[start] SouthernPao l w i ⁵⁵ [end]
[start] SouthernPao m a ŋ ⁵⁵ [end]	[start] SouthernPao m a ŋ ⁵⁵ [end]
[start] SouthernPao m w ə m ⁵³ [end]	[start] SouthernPao m w ə m ⁵³ [end]
[start] SouthernPao ʔ ai ³³ [end]	[start] SouthernPao ʔ e ³³ [end]
[start] SouthernPao n a ⁵⁵ [end]	[start] SouthernPao n a ⁵⁵ [end]
[start] SouthernPao d i ³³ [end]	[start] SouthernPao d i ³³ [end]
[start] SouthernPao cʰ a ŋ ɦ ³¹ [end]	[start] SouthernPao cʰ a ŋ ɦ ³¹ [end]
[start] SouthernPao p i ʔ ²¹ [end]	[start] SouthernPao p i ʔ ²¹ [end]
[start] SouthernPao t ɛ ʔ ⁴⁵ [end]	[start] SouthernPao t ɛ ʔ ⁴⁵ [end]
[start] SouthernPao b l u ŋ ³³ [end]	[start] SouthernPao p w ə ŋ ³³ [end]
[start] SouthernPao cʰ w ə ŋ ³³ [end]	[start] SouthernPao cʰ w ə m ³³ [end]
[start] SouthernPao m ɔ ¹¹ [end]	[start] SouthernPao m ɨ ³³ [end]
[start] SouthernPao m u ɦ ³¹ [end]	[start] SouthernPao m u ⁵⁵ [end]
[start] SouthernPao m i ³³ [end]	[start] SouthernPao m e ³³ [end]
[start] SouthernPao ŋ a t ²¹ [end]	[start] SouthernPao n a p ⁴⁵ [end]
[start] SouthernPao d ai ³³ [end]	[start] SouthernPao d e ³³ [end]
[start] SouthernPao l i ʔ ²¹ [end]	[start] SouthernPao l e k ⁴⁵ [end]
[start] SouthernPao ʔ ɔ ³³ [end]	[start] SouthernPao ʔ au ³³ [end]
[start] SouthernPao s a ¹¹ [end]	[start] SouthernPao s a ʔ ²¹ [end]
[start] SouthernPao s au ³³ [end]	[start] SouthernPao ɕ au ³³ [end]
[start] SouthernPao t o ŋ ⁵⁵ [end]	[start] SouthernPao t o ŋ ⁵⁵ [end]
[start] SouthernPao n ə ŋ ⁵³ [end]	[start] SouthernPao n o ŋ ⁵³ [end]
[start] SouthernPao pʰ r ə m ɦ ³¹ [end]	[start] SouthernPao pʰ r ɨ n ɦ ³¹ [end]
[start] SouthernPao s i ʔ ²¹ [end]	[start] SouthernPao s e ɦ ³¹ [end]
[start] SouthernPao r a ⁵³ [end]	[start] SouthernPao r j a ⁵³ [end]
[start] SouthernPao k w a ³³ [end]	[start] SouthernPao w a ⁵³ [end]
[start] SouthernPao cʰ a ɦ ³¹ [end]	[start] SouthernPao cʰ a ɦ ³¹ [end]
[start] SouthernPao p r a ʔ ²¹ [end]	[start] SouthernPao pʰ r i ʔ ⁴⁵ [end]
[start] SouthernPao tʰ a ¹¹ [end]	[start] SouthernPao tʰ a ʔ ²¹ [end]
[start] SouthernPao s a ¹¹ [end]	[start] SouthernPao s a ʔ ²¹ [end]
[start] SouthernPao l a ³³ [end]	[start] SouthernPao l a ³³ [end]
[start] SouthernPao c ai ³³ [end]	[start] SouthernPao c e ³³ [end]
[start] SouthernPao kʰ a ŋ ³³ [end]	[start] SouthernPao kʰ a ŋ ³³ [end]
[start] SouthernPao pʰ i ɦ ³¹ [end]	[start] SouthernPao pʰ w i ɦ ³¹ [end]
[start] SouthernPao ʔ ɔ ŋ ³³ [end]	[start] SouthernPao ʔ o ŋ ³³ [end]
[start] SouthernPao ŋ j a ʔ ²¹ [end]	[start] SouthernPao ŋ j a ʔ ⁴⁵ [end]
[start] SouthernPao tʰ au ɦ ³¹ [end]	[start] SouthernPao tʰ o ɦ ³¹ [end]
[start] SouthernPao s w ə ŋ ³³ [end]	[start] SouthernPao s ɨ ³³ [end]
[start] SouthernPao l o ŋ ³³ [end]	[start] SouthernPao l o ŋ ³³ [end]
[start] SouthernPao kʰ w ɔ ɦ ³¹ [end]	[start] SouthernPao kʰ w o ɦ ³¹ [end]
[start] SouthernPao l a ɦ ³¹ [end]	[start] SouthernPao l a ɦ ³¹ [end]
[start] SouthernPao j u ⁵⁵ [end]	[start] SouthernPao j u ⁵⁵ [end]
[start] SouthernPao m i ³³ [end]	[start] SouthernPao m i ³³ [end]
[start] SouthernPao m i ŋ ⁵³ [end]	[start] SouthernPao m i n ⁵³ [end]
[start] SouthernPao d ai ɦ ³¹ [end]	[start] SouthernPao d e ɦ ³¹ [end]
[start] SouthernPao p l o m ³³ [end]	[start] SouthernPao p l o m ³³ [end]
[start] SouthernPao c u ɦ ³¹ [end]	[start] SouthernPao k j u ɦ ³¹ [end]
[start] SouthernPao p ə ŋ ⁵³ [end]	[start] SouthernPao p ə ŋ ⁵³ [end]
[start] SouthernPao s ɔ ʔ ⁴⁵ [end]	[start] SouthernPao s ɔ ʔ ²¹ [end]
[start] SouthernPao m i n ɦ ³¹ [end]	[start] SouthernPao m i n ɦ ³¹ [end]
[start] SouthernPao cʰ a ɦ ³¹ [end]	[start] SouthernPao c a ɦ ³¹ [end]
[start] SouthernPao cʰ a ʔ ²¹ [end]	[start] SouthernPao cʰ a ʔ ²¹ [end]
[start] SouthernPao kʰ a ¹¹ [end]	[start] SouthernPao kʰ a ʔ ²¹ [end]
[start] SouthernPao p l a ʔ ²¹ [end]	[start] SouthernPao p l ɛ ʔ ⁴⁵ [end]
[start] SouthernPao p l a ɦ ³¹ [end]	[start] SouthernPao p l e ɦ ³¹ [end]
[start] SouthernPao r u ⁵⁵ [end]	[start] SouthernPao r u ⁵⁵ [end]
[start] SouthernPao cʰ a ŋ ³³ [end]	[start] SouthernPao ɕ j a n ³³ [end]
[start] SouthernPao d a ɦ ³¹ [end]	[start] SouthernPao d a ɦ ³¹ [end]
[start] SouthernPao c i m ⁵⁵ [end]	[start] SouthernPao c i m ⁵⁵ [end]
[start] SouthernPao tʰ ə ŋ ³³ [end]	[start] SouthernPao tʰ ə ŋ ³³ [end]
[start] SouthernPao cʰ a ³³ [end]	[start] SouthernPao cʰ a ³³ [end]
[start] SouthernPao l o ŋ ⁵⁵ [end]	[start] SouthernPao l o ŋ ⁵⁵ [end]
[start] SouthernPao p l i ³³ [end]	[start] SouthernPao p l i ⁵³ [end]
[start] SouthernPao m ə ⁵⁵ [end]	[start] SouthernPao m ɨ ⁵⁵ [end]
[start] SouthernPao j ɔ ʔ ²¹ [end]	[start] SouthernPao j ɔ ʔ ²¹ [end]
[start] SouthernPao m i ⁵⁵ [end]	[start] SouthernPao m e ⁵⁵ [end]
[start] SouthernPao cʰ i ɦ ³¹ [end]	[start] SouthernPao ɕ i ɦ ³¹ [end]
[start] SouthernPao p i ³³ [end]	[start] SouthernPao p i ⁵⁵ [end]
[start] SouthernPao p l ɔ ŋ ³³ [end]	[start] SouthernPao p l o ŋ ³³ [end]
[start] SouthernPao t u ⁵⁵ [end]	[start] SouthernPao t u ⁵⁵ [end]
[start] SouthernPao s ə m ɦ ³¹ [end]	[start] SouthernPao s ə m ɦ ³¹ [end]
[start] SouthernPao c ə ŋ ɦ ³¹ [end]	[start] SouthernPao c ə ŋ ɦ ³¹ [end]
[start] SouthernPao kʰ i ɦ ³¹ [end]	[start] SouthernPao kʰ e ɦ ³¹ [end]
[start] SouthernPao s u ³³ [end]	[start] SouthernPao s u ³³ [end]
[start] SouthernPao p l ai ³³ [end]	[start] SouthernPao p l e ⁵³ [end]
[start] SouthernPao t a ¹¹ [end]	[start] SouthernPao t ɛ ʔ ⁴⁵ [end]
[start] SouthernPao kʰ l i ʔ ²¹ [end]	[start] SouthernPao kʰ l i ʔ ²¹ [end]
[start] SouthernPao p j ɔ ʔ ²¹ [end]	[start] SouthernPao p r ɔ ʔ ²¹ [end]
[start] SouthernPao p l a ⁵⁵ [end]	[start] SouthernPao p l a ⁵⁵ [end]
[start] SouthernPao tʰ i ɦ ³¹ [end]	[start] SouthernPao tʰ i ɦ ³¹ [end]
[start] SouthernPao tʰ ɛ ŋ ɦ ³¹ [end]	[start] SouthernPao tʰ ɛ ŋ ɦ ³¹ [end]
[start] SouthernPao c au ³³ [end]	[start] SouthernPao c au ³³ [end]
[start] SouthernPao l ai ⁵⁵ [end]	[start] SouthernPao l ai ⁵⁵ [end]
[start] SouthernPao m a ɦ ³¹ [end]	[start] SouthernPao m a ɦ ³¹ [end]
[start] SouthernPao l w i ɦ ³¹ [end]	[start] SouthernPao l i p ⁴⁵ [end]
[start] SouthernPao l ɔ ¹¹ [end]	[start] SouthernPao l u ʔ ⁴⁵ [end]
[start] SouthernPao tʰ a ŋ ³³ [end]	[start] SouthernPao tʰ a ŋ ³³ [end]
[start] SouthernPao h w a ³³ [end]	[start] SouthernPao w a ³³ [end]
[start] SouthernPao s w i ³³ [end]	[start] SouthernPao s w i ³³ [end]
[start] SouthernPao m i ³³ [end]	[start] SouthernPao m i ⁵³ [end]
[start] SouthernPao kʰ l i ɦ ³¹ [end]	[start] SouthernPao kʰ l i ɦ ³¹ [end]
[start] SouthernPao kʰ r i ʔ ²¹ [end]	[start] SouthernPao cʰ əu t ²¹ [end]
[start] SouthernPao s i ³³ [end]	[start] SouthernPao s i ³³ [end]
[start] SouthernPao pʰ i ɦ ³¹ [end]	[start] SouthernPao pʰ e ɦ ³¹ [end]
[start] SouthernPao p r e ³³ [end]	[start] SouthernPao pʰ r e ⁵³ [end]
[start] SouthernPao s w a ³³ [end]	[start] SouthernPao s w a ³³ [end]
[start] SouthernPao h a t ²¹ [end]	[start] SouthernPao h a p ²¹ [end]
[start] SouthernPao s i ³³ [end]	[start] SouthernPao s i ³³ [end]
[start] SouthernPao b a ³³ [end]	[start] SouthernPao b a ³³ [end]
[start] SouthernPao p r a ³³ [end]	[start] SouthernPao pʰ r a ⁵³ [end]
[start] SouthernPao pʰ l ɔ ŋ ³³ [end]	[start] SouthernPao pʰ l o ŋ ³³ [end]
[start] SouthernPao kʰ l i ³³ [end]	[start] SouthernPao kʰ l i ³³ [end]
[start] SouthernPao ʔ o ³³ [end]	[start] SouthernPao ʔ o ³³ [end]
[start] SouthernPao n i ³³ [end]	[start] SouthernPao n i ⁵³ [end]
[start] SouthernPao s i ɦ ³¹ [end]	[start] SouthernPao s i ɦ ³¹ [end]
[start] SouthernPao j ɔ ʔ ²¹ [end]	[start] SouthernPao j ɔ ʔ ⁴⁵ [end]
[start] SouthernPao kʰ i ɦ ³¹ [end]	[start] SouthernPao kʰ i ɦ ³¹ [end]
[start] SouthernPao ʔ w i ³³ [end]	[start] SouthernPao ʔ w i ³³ [end]
[start] SouthernPao l o ɦ ³¹ [end]	[start] SouthernPao l o ɦ ³¹ [end]
[start] SouthernPao ʔ a m ³³ [end]	[start] SouthernPao ʔ a m ³³ [end]
[start] SouthernPao k a ¹¹ [end]	[start] SouthernPao k ə ʔ ²¹ [end]
[start] SouthernPao t a ¹¹ [end]	[start] SouthernPao t a ʔ ⁴⁵ [end]
[start] SouthernPao r e ¹¹ [end]	[start] SouthernPao r ə ʔ ⁴⁵ [end]
[start] SouthernPao p w a ɦ ³¹ [end]	[start] SouthernPao b w ɛ ɦ ³¹ [end]
[start] SouthernPao ʔ ɛ ŋ ɦ ³¹ [end]	[start] SouthernPao ʔ e ŋ ɦ ³¹ [end]
[start] SouthernPao l w ɛ ⁵³ [end]	[start] SouthernPao l w ɛ ⁵³ [end]
[start] SouthernPao d w ɛ ³³ [end]	[start] SouthernPao d w ɛ ³³ [end]
[start] SouthernPao l i ³³ [end]	[start] SouthernPao l i ⁵³ [end]
[start] SouthernPao l a ³³ [end]	[start] SouthernPao l a ⁵³ [end]
[start] SouthernPao l u ⁵³ [end]	[start] SouthernPao l u ⁵³ [end]
[start] SouthernPao t o ⁵⁵ [end]	[start] SouthernPao t o ⁵⁵ [end]
[start] SouthernPao k l ɔ ŋ ³³ [end]	[start] SouthernPao k l o ŋ ³³ [end]
[start] SouthernPao k l ə ʔ ²¹ [end]	[start] SouthernPao k l ə ʔ ²¹ [end]
[start] SouthernPao tʰ ɔ ³³ [end]	[start] SouthernPao tʰ ɨ ³³ [end]
[start] SouthernPao k a ⁵⁵ [end]	[start] SouthernPao ɕ a ⁵⁵ [end]
[start] SouthernPao s w a ʔ ²¹ [end]	[start] SouthernPao w a ʔ ²¹ [end]
[start] SouthernPao t w a m ⁵³ [end]	[start] SouthernPao t ə m ⁵³ [end]
[start] SouthernPao n a ³³ [end]	[start] SouthernPao n a ³³ [end]
[start] SouthernPao s u ŋ ³³ [end]	[start] SouthernPao s w ə n ³³ [end]
[start] SouthernPao p ɔ ³³ [end]	[start] SouthernPao p ə ³³ [end]
[start] SouthernPao pʰ a ɦ ³¹ [end]	[start] SouthernPao pʰ a ɦ ³¹ [end]
[start] SouthernPao kʰ ɔ ʔ ⁴⁵ [end]	[start] SouthernPao kʰ ɔ ʔ ²¹ [end]
[start] SouthernPao ʔ a ɦ ³¹ [end]	[start] SouthernPao ʔ a ɦ ³¹ [end]
[start] SouthernPao w i ³³ [end]	[start] SouthernPao w ɛ ⁵³ [end]
[start] SouthernPao w i ³³ [end]	[start] SouthernPao w i ⁵³ [end]
[start] SouthernPao j ɔ ʔ ²¹ [end]	[start] SouthernPao j u ʔ ⁴⁵ [end]
[start] SouthernPao m ɔ ⁵⁵ [end]	[start] SouthernPao m ə ⁵⁵ [end]
[start] SouthernPao ʔ j a n ³³ [end]	[start] SouthernPao ʔ ɛ n ³³ [end]
[start] SouthernPao p r a ³³ [end]	[start] SouthernPao pʰ r a ⁵⁵ [end]
[start] SouthernPao p au ³³ [end]	[start] SouthernPao p o ⁵⁵ [end]
[start] SouthernPao p ɔ ŋ ⁵³ [end]	[start] SouthernPao p ɔ ŋ ⁵³ [end]
[start] SouthernPao tʰ ai ³³ [end]	[start] SouthernPao tʰ e ³³ [end]
[start] SouthernPao tʰ w ə m ³³ [end]	[start] SouthernPao tʰ w ə m ³³ [end]
[start] SouthernPao s u ŋ ³³ [end]	[start] SouthernPao s w ə m ³³ [end]
[start] SouthernPao b ɔ ʔ ⁴⁵ [end]	[start] SouthernPao b u ʔ ²¹ [end]
[start] SouthernPao tʰ w a ɦ ³¹ [end]	[start] SouthernPao tʰ w ɛ ɦ ³¹ [end]
[start] SouthernPao r w i ³³ [end]	[start] SouthernPao r w i ⁵⁵ [end]
[start] SouthernPao s ə ŋ ɦ ³¹ [end]	[start] SouthernPao s ə ŋ ɦ ³¹ [end]
[start] SouthernPao s a ³³ [end]	[start] SouthernPao s a ³³ [end]
[start] SouthernPao cʰ w ə m ³¹ [end]	[start] SouthernPao cʰ ə m ɦ ³¹ [end]
[start] SouthernPao n w ɛ ʔ ²¹ [end]	[start] SouthernPao n ə t ⁴⁵ [end]
[start] SouthernPao pʰ r a ³³ [end]	[start] SouthernPao pʰ ə ³³ [end]
[start] SouthernPao p l e ŋ ɦ ³¹ [end]	[start] SouthernPao p l e ŋ ɦ ³¹ [end]
[start] SouthernPao n ə m ⁵³ [end]	[start] SouthernPao n w ə m ⁵³ [end]
[start] SouthernPao m a ¹¹ [end]	[start] SouthernPao m a ʔ ⁴⁵ [end]
[start] WesternBwe d ə ³³ [end]	[start] WesternBwe d o ³³ [end]
[start] WesternBwe d ə ³³ [end]	[start] WesternBwe d o ³³ [end]
[start] WesternBwe p l ɛ ³³ [end]	[start] WesternBwe b l ɛ ³³ [end]
[start] WesternBwe θ ɛ ⁵⁵ [end]	[start] WesternBwe θ r ɛ ⁵⁵ [end]
[start] WesternBwe ɓ a ³³ [end]	[start] WesternBwe ɓ a ³³ [end]
[start] WesternBwe p l ɛ ³³ [end]	[start] WesternBwe p l ɛ ¹¹ [end]
[start] WesternBwe tʰ a m ⁵⁵ [end]	[start] WesternBwe tʰ ɛ ⁵⁵ [end]
[start] WesternBwe w a ³³ [end]	[start] WesternBwe w ɛ ³³ [end]
[start] WesternBwe n i ⁵⁵ [end]	[start] WesternBwe n ɪ ³³ [end]
[start] WesternBwe l a ³³ [end]	[start] WesternBwe l a ¹¹ [end]
[start] WesternBwe kʰ ɛ ³³ [end]	[start] WesternBwe kʰ ɛ ³³ [end]
[start] WesternBwe ɔ ⁵⁵ [end]	[start] WesternBwe u ³³ [end]
[start] WesternBwe tʰ ɔ ³³ [end]	[start] WesternBwe tʰ ɔ ³³ [end]
[start] WesternBwe n ʊ ³³ [end]	[start] WesternBwe n o ¹¹ [end]
[start] WesternBwe pʰ a ³³ [end]	[start] WesternBwe pʰ a ³³ [end]
[start] WesternBwe p ə ³³ [end]	[start] WesternBwe b ə ³³ [end]
[start] WesternBwe n ɛ ³³ [end]	[start] WesternBwe n ɛ ³³ [end]
[start] WesternBwe θ ɪ ³³ [end]	[start] WesternBwe θ a ³³ [end]
[start] WesternBwe kʰ w i ³³ [end]	[start] WesternBwe kʰ w i ³³ [end]
[start] WesternBwe ʃ a ⁵⁵ [end]	[start] WesternBwe ʃ a ⁵⁵ [end]
[start] WesternBwe kʰ ɛ ³³ [end]	[start] WesternBwe kʰ ɛ ³³ [end]
[start] WesternBwe l u ³³ [end]	[start] WesternBwe l u ³³ [end]
[start] WesternBwe ʃ w ɛ ³³ [end]	[start] WesternBwe ʃ w ɛ ³³ [end]
[start] WesternBwe kʰ i ³³ [end]	[start] WesternBwe kʰ i ³³ [end]
[start] WesternBwe ʔ ə ⁵⁵ [end]	[start] WesternBwe o ⁵⁵ [end]
[start] WesternBwe l a ³³ [end]	[start] WesternBwe l a ³³ [end]
[start] WesternBwe m ɛ ³³ [end]	[start] WesternBwe m ɛ ³³ [end]
[start] WesternBwe tʰ w i ³³ [end]	[start] WesternBwe tʰ w i ³³ [end]
[start] WesternBwe m ɛ ³³ [end]	[start] WesternBwe m ɛ ⁵⁵ [end]
[start] WesternBwe l i ³³ [end]	[start] WesternBwe l w i ³³ [end]
[start] WesternBwe m a ¹¹ [end]	[start] WesternBwe m a ³³ [end]
[start] WesternBwe m u ³³ [end]	[start] WesternBwe m u ³³ [end]
[start] WesternBwe ʔ i ³³ [end]	[start] WesternBwe ɪ ³³ [end]
[start] WesternBwe n ɛ ³³ [end]	[start] WesternBwe n ɛ ³³ [end]
[start] WesternBwe ɗ i ³³ [end]	[start] WesternBwe ɗ i ³³ [end]
[start] WesternBwe ʃ a ŋ ⁵⁵ [end]	[start] WesternBwe ʃ a ⁵⁵ [end]
[start] WesternBwe p i ⁵⁵ [end]	[start] WesternBwe b ɪ ¹¹ [end]
[start] WesternBwe d a ³³ [end]	[start] WesternBwe d e ¹¹ [end]
[start] WesternBwe ɓ u ³³ [end]	[start] WesternBwe ɓ ʊ ³³ [end]
[start] WesternBwe ʃ u ³³ [end]	[start] WesternBwe ʃ ʊ ³³ [end]
[start] WesternBwe m i ³³ [end]	[start] WesternBwe m o ³³ [end]
[start] WesternBwe m u ³³ [end]	[start] WesternBwe m u ³³ [end]
[start] WesternBwe m i ³³ [end]	[start] WesternBwe m ɪ ³³ [end]
[start] WesternBwe ŋ a ³³ [end]	[start] WesternBwe j ɛ ¹¹ [end]
[start] WesternBwe ɗ i ³³ [end]	[start] WesternBwe ɗ i ³³ [end]
[start] WesternBwe l ɪ ¹¹ [end]	[start] WesternBwe l e ¹¹ [end]
[start] WesternBwe ɔ ³³ [end]	[start] WesternBwe ɔ ³³ [end]
[start] WesternBwe θ a ³³ [end]	[start] WesternBwe θ a ³³ [end]
[start] WesternBwe θ ɔ ³³ [end]	[start] WesternBwe θ r ɔ ³³ [end]
[start] WesternBwe d ʊ ³³ [end]	[start] WesternBwe d o ³³ [end]
[start] WesternBwe n ʊ ³³ [end]	[start] WesternBwe n o ¹¹ [end]
[start] WesternBwe pʰ r u ³³ [end]	[start] WesternBwe pʰ l u ⁵⁵ [end]
[start] WesternBwe θ ɪ ⁵⁵ [end]	[start] WesternBwe θ r ɪ ³³ [end]
[start] WesternBwe j ɛ ³³ [end]	[start] WesternBwe j ɛ ³³ [end]
[start] WesternBwe g w ɛ ³³ [end]	[start] WesternBwe w ɛ ³³ [end]
[start] WesternBwe ʃ a ⁵⁵ [end]	[start] WesternBwe ʃ ɛ ⁵⁵ [end]
[start] WesternBwe b w a ³³ [end]	[start] WesternBwe b w i ¹¹ [end]
[start] WesternBwe tʰ a ³³ [end]	[start] WesternBwe tʰ a ³³ [end]
[start] WesternBwe θ a ³³ [end]	[start] WesternBwe θ a ³³ [end]
[start] WesternBwe l ɛ ³³ [end]	[start] WesternBwe l ɛ ³³ [end]
[start] WesternBwe j i ³³ [end]	[start] WesternBwe c ɪ ³³ [end]
[start] WesternBwe kʰ a ³³ [end]	[start] WesternBwe kʰ a ³³ [end]
[start] WesternBwe pʰ i ⁵⁵ [end]	[start] WesternBwe pʰ w i ⁵⁵ [end]
[start] WesternBwe ɔ ³³ [end]	[start] WesternBwe ɔ ³³ [end]
[start] WesternBwe ŋ j a ³³ [end]	[start] WesternBwe j ɪ ¹¹ [end]
[start] WesternBwe tʰ o ⁵⁵ [end]	[start] WesternBwe tʰ o ⁵⁵ [end]
[start] WesternBwe θ u ³³ [end]	[start] WesternBwe θ o ¹¹ [end]
[start] WesternBwe l o ³³ [end]	[start] WesternBwe l o ³³ [end]
[start] WesternBwe kʰ w ɔ ⁵⁵ [end]	[start] WesternBwe kʰ w o ⁵⁵ [end]
[start] WesternBwe l ɛ ⁵⁵ [end]	[start] WesternBwe l ɛ ⁵⁵ [end]
[start] WesternBwe j o ³³ [end]	[start] WesternBwe j u ³³ [end]
[start] WesternBwe m i ³³ [end]	[start] WesternBwe m i ³³ [end]
[start] WesternBwe m i ³³ [end]	[start] WesternBwe m i ³³ [end]
[start] WesternBwe ɗ i ⁵⁵ [end]	[start] WesternBwe ɗ i ⁵⁵ [end]
[start] WesternBwe p l o ³³ [end]	[start] WesternBwe p l o ³³ [end]
[start] WesternBwe j u ⁵⁵ [end]	[start] WesternBwe c u ⁵⁵ [end]
[start] WesternBwe p ə ³³ [end]	[start] WesternBwe b o ⁵⁵ [end]
[start] WesternBwe θ ɔ ¹¹ [end]	[start] WesternBwe θ ɔ ³³ [end]
[start] WesternBwe m i ⁵⁵ [end]	[start] WesternBwe m i ⁵⁵ [end]
[start] WesternBwe j a ⁵⁵ [end]	[start] WesternBwe ʃ ɛ ⁵⁵ [end]
[start] WesternBwe ʃ a ³³ [end]	[start] WesternBwe ʃ a ³³ [end]
